day;weekend;holidays;holiday
28/07/2016;будни;-;f
29/07/2016;будни;-;f
30/07/2016;вых;-;f
31/07/2016;вых;-;f
01/08/2016;будни;-;f
02/08/2016;будни;-;f
03/08/2016;будни;-;f
04/08/2016;будни;-;f
05/08/2016;будни;-;f
06/08/2016;вых;-;f
07/08/2016;вых;-;f
08/08/2016;будни;-;f
09/08/2016;будни;-;f
10/08/2016;будни;-;f
11/08/2016;будни;-;f
12/08/2016;будни;-;f
13/08/2016;вых;-;f
14/08/2016;вых;-;f
15/08/2016;будни;-;f
16/08/2016;будни;-;f
17/08/2016;будни;-;f
18/08/2016;будни;-;f
19/08/2016;будни;-;f
20/08/2016;вых;-;f
21/08/2016;вых;-;f
22/08/2016;будни;-;f
23/08/2016;будни;-;f
24/08/2016;будни;-;f
25/08/2016;будни;-;f
26/08/2016;будни;-;f
27/08/2016;вых;-;f
28/08/2016;вых;-;f
29/08/2016;будни;-;f
30/08/2016;будни;-;f
31/08/2016;будни;-;f
01/09/2016;будни;-;f
